"class","age","sex","survived"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","Y"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","N","N"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","Y"
"A","N","Y","N"
"A","N","Y","N"
"A","N","Y","N"
"A","N","Y","N"
"A","Y","N","Y"
"A","Y","N","Y"
"A","Y","N","Y"
"A","Y","N","Y"
"A","Y","N","Y"
"A","Y","Y","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","Y"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","N","N"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","Y"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","N","Y","N"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","N","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"B","Y","Y","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
"C","N","N","Y"
